Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-1907.672	-2093.364	185.6922	1.806407	1.736482	1.12778	1.314876
6	-1910.236	-2096.437	186.2017	1.714039	1.748892	0.7362421	1.307829
12	-1907.523	-2093.636	186.1134	1.831288	2.620507	0.7362421	0.8181322
18	-1901.402	-2087.324	185.9213	1.635393	2.387632	0.8139029	1.223763
24	-1910.656	-2096.798	186.1415	1.740851	2.387632	0.6059463	1.175088
30	-1911.562	-2098.025	186.463	1.881827	1.773453	0.7525056	0.8732711
36	-1918.148	-2104.707	186.559	1.834579	1.773453	0.7525056	0.8133485
42	-1907.55	-2093.884	186.3332	1.822634	1.855295	0.7337545	1.041718
48	-1906.834	-2092.637	185.803	1.89393	2.5419	0.8019731	1.041718
54	-1928.6	-2114.707	186.1075	1.863268	1.999468	0.914056	0.9291429
60	-1917.77	-2103.603	185.8328	1.843939	1.909266	1.056864	1.12767
66	-1920.433	-2106.619	186.186	1.753236	1.783477	0.942887	1.063405
72	-1919.608	-2106.108	186.5	1.794461	1.783477	0.736171	0.9447402
78	-1910.897	-2097.427	186.53	1.848471	2.018468	0.5703002	0.9447402
84	-1920.428	-2106.26	185.8315	1.972139	2.799761	0.716001	0.9174346
90	-1920.624	-2106.583	185.9585	2.253825	2.50926	0.6698711	0.5946536
96	-1909.739	-2095.714	185.9756	2.27346	2.459143	0.6698711	0.4565674
102	-1909.003	-2095.23	186.2271	2.250727	1.903775	0.7303372	0.531523
108	-1899.306	-2085.288	185.9817	2.273949	2.297492	0.7303372	0.5269536
114	-1914.293	-2100.295	186.0017	2.273949	2.297492	0.7152554	0.483044
120	-1920.156	-2106.896	186.74	1.906649	1.542271	0.6805691	0.8085185
126	-1914.449	-2100.989	186.5396	1.897137	1.622927	0.7375569	0.9043008
132	-1919.045	-2105.535	186.4896	1.982384	1.747623	0.761452	0.7069681
138	-1918.237	-2104.593	186.3564	2.117845	1.747623	0.761452	0.702983
144	-1920.163	-2106.379	186.2168	2.1162	1.664109	0.9251737	0.720675
150	-1920.029	-2106.123	186.0941	1.836657	1.870544	0.8318306	1.13239
156	-1928.017	-2114.384	186.3663	1.820243	1.86676	0.8318306	0.8790656
162	-1918.452	-2104.506	186.0539	1.966788	2.020693	0.8645293	0.9201477
168	-1912.602	-2098.835	186.2326	2.095655	2.016033	0.7656423	0.6566109
174	-1907.414	-2093.882	186.4672	2.114683	1.606343	0.7656423	0.670748
180	-1925.91	-2112.144	186.2332	2.114683	2.000112	0.7656423	0.6337077
186	-1915.65	-2102.006	186.3554	2.146341	1.751017	0.7656423	0.6337077
192	-1906.387	-2092.204	185.8165	2.057879	2.336166	1.008189	0.6797383
198	-1895.956	-2082.011	186.0544	2.057879	2.753785	0.646013	0.6397658
